"Location","Pointers","Byte Count","String Value","New String Value"
"b1064","","10","chounin_02",""
"b1070","","10","chounin_03",""
"b107c","","10","chounin_04",""
"b1088","","10","chounin_05",""
"b1094","","13","chounin_05_00",""
"b10a4","","13","chounin_05_01",""
"b10b4","","13","chounin_05_02",""
"b10c4","","10","chounin_06",""
"b10d0","","10","chounin_07",""
"b10dc","","10","chounin_08",""
"b10e8","","10","chounin_09",""
"b10f4","","10","chounin_10",""
"b1100","","10","chounin_11",""
"b110c","","10","chounin_12",""
"b1118","","10","chounin_13",""
"b1124","","10","chounin_14",""
"b1130","","13","chounin_14_00",""
"b1140","","10","chounin_15",""
"b114c","","10","chounin_16",""
"b1158","","10","chounin_17",""
"b1164","","10","chounin_18",""
"b1170","","12","R_720_MANUAL",""
"b1180","","7","SG_1000",""
"b1188","","5","MARK3",""
"b1190","","5","BIG_W",""
"b1198","","11","R_720_mokei",""
"b11a4","","14","RD1_EVENT_MAX",""
"b11b4","","21","RD1_SINGLE_STROKE_00",""
"b11cc","","21","RD1_SINGLE_STROKE_01",""
"b11e4","","21","RD1_SINGLE_STROKE_02",""
"b11fc","","21","RD1_SINGLE_STROKE_03",""
"b1214","","21","RD1_SINGLE_STROKE_04",""
"b122c","","21","RD1_SINGLE_STROKE_05",""
"b1244","","22","RD1_SINGLE_STROKE_MAX",""
"b125c","","22","RD1_GOLDFLAG_ADDITION",""
"b1274","","15","RD1_GF_ADD_CMN",""
"b1284","","14","RD1_GF_ADD_UN",""
"b1294","","15","RD1_GF_ADD_REA",""
"b12a4","","19","RD1_STAFF00_BATTLE",""
"b12b8","","20","RD1_STAFF00_WALK_00",""
"b12d0","","21","RD1_PROGRAM02_BATTLE",""
"b12e8","","22","RD1_PROGRAM02_WALK_00",""
"b1300","","22","RD1_PROGRAM02_WALK_01",""
"b1318","","21","RD1_PRO_CHIEF_BATTLE",""
"b1330","","20","RD1_HEROINE_WALK_00",""
"b1348","","20","RD1_HEROINE_WALK_01",""
"b1360","","20","RD1_HEROINE_WALK_02",""
"b1378","","21","RD1_DES_CHIEF_BATTLE",""
"b1390","","24","RD1_SINGLE_STORKE_START",""
"b13ac","","10","RD1_FAINT",""
"b13b8","","16","RD1_BOSS_BATTLE",""
"b13cc","","22","RD1_BOSS_BATTLE_START",""
"b13e4","","20","RD1_BOSS_BATTLE_END",""
"b13fc","","15","RD1_SCROLL_GRP",""
"b140c","","15","RD1_GET_POSTER",""
"b141c","","24","RD1_FLAGMAN_SPEAK_START",""
"b1438","","17","RD1_FAINT_EFFECT",""
"b144c","","13","RD1_END_FADE",""
"b145c","","13","RD1_SMOKE_00",""
"b146c","","12","RD1_ITEM_00",""
"b147c","","12","RD1_ITEM_01",""
"b148c","","13","RD1_SOUND_00",""
"b149c","","13","RD1_SOUND_01",""
"b14ac","","8","RD1_END",""
"b14b8","","14","F355_firstmeet",""
"b14c8","","17","F355_firstmeet_01",""
"b14dc","","17","F355_firstmeet_02",""
"b14f0","","19","F355_hiroba_talk_00",""
"b1504","","23","F355_hiroba_talk_00_snd",""
"b151c","","22","F355_hiroba_talk_00_00",""
"b1534","","19","F355_hiroba_talk_01",""
"b1548","","23","F355_hiroba_talk_01_snd",""
"b1560","","22","F355_hiroba_talk_01_00",""
"b1578","","19","F355_hiroba_talk_02",""
"b158c","","23","F355_hiroba_talk_02_snd",""
"b15a4","","22","F355_hiroba_talk_02_00",""
"b15bc","","19","F355_hiroba_talk_03",""
"b15d0","","23","F355_hiroba_talk_03_snd",""
"b15e8","","22","F355_hiroba_talk_03_00",""
"b1600","","19","F355_hiroba_talk_04",""
"b1614","","23","F355_hiroba_talk_04_snd",""
"b162c","","22","F355_hiroba_talk_04_00",""
"b1644","","16","F355_laman_first",""
"b1658","","19","F355_laman_first_01",""
"b166c","","19","F355_laman_first_02",""
"b1680","","19","F355_laman_first_03",""
"b1694","","19","F355_laman_first_04",""
"b16a8","","19","F355_laman_first_05",""
"b16bc","","16","laman_a_entrance",""
"b16d0","","17","laman_a_entrance_",""
"b16e4","","19","laman_a_entrance_01",""
"b16f8","","19","laman_a_entrance_03",""
"b170c","","22","laman_a_entrance_03_00",""
"b1724","","19","laman_a_entrance_04",""
"b1738","","22","laman_a_entrance_04_00",""
"b1750","","22","laman_a_entrance_04_01",""
"b1768","","22","laman_a_entrance_04_02",""
"b1780","","22","laman_a_hanchoroom_mae",""
"b1798","","25","laman_a_hanchoroom_mae_01",""
"b17b4","","25","laman_a_hanchoroom_mae_02",""
"b17d0","","18","A_hancho_firstmeet",""
"b17e4","","19","A_hancho_firstmeet_",""
"b17f8","","31","A_hancho_firstmeet_00_kaitentou",""
"b1818","","21","A_hancho_firstmeet_01",""
"b1830","","21","A_hancho_firstmeet_02",""
"b1848","","21","A_hancho_firstmeet_03",""
"b1860","","21","A_hancho_firstmeet_04",""
"b1878","","21","A_hancho_firstmeet_05",""
"b1890","","24","A_hancho_firstmeet_05_00",""
"b18ac","","24","A_hancho_firstmeet_05_01",""
"b18c8","","21","A_hancho_firstmeet_06",""
"b18e0","","21","A_hancho_firstmeet_07",""
"b18f8","","21","A_hancho_firstmeet_08",""
"b1910","","23","A_hancho_firstmeet_loop",""
"b1928","","21","A_hancho_firstmeet_09",""
"b1940","","13","MOVE_KAGEKIHA",""
"b1950","","16","MOVE_KAGEKIHA_00",""
"b1964","","16","MOVE_KAGEKIHA_01",""
"b1978","","16","MOVE_KAGEKIHA_02",""
"b198c","","16","MOVE_KAGEKIHA_03",""
"b19a0","","16","MOVE_KAGEKIHA_04",""
"b19b4","","15","KAGEKIHA_ZAKO01",""
"b19c4","","18","KAGEKIHA_ZAKO01_00",""
"b19d8","","15","KAGEKIHA_ZAKO02",""
"b19e8","","18","KAGEKIHA_ZAKO02_00",""
"b19fc","","13","KAGEKIHA_BOSS",""
"b1a0c","","14","KAGEKIHA_BOSS_",""
"b1a1c","","16","KAGEKIHA_BOSS_00",""
"b1a30","","26","KAGEKIHA_BOSS_AFTER_BATTLE",""
"b1a4c","","27","KAGEKIHA_BOSS_AFTER_BATTLE_",""
"b1a68","","31","KAGEKIHA_BOSS_AFTER_BATTLE_loop",""
"b1a88","","29","KAGEKIHA_BOSS_AFTER_BATTLE_01",""
"b1aa8","","29","KAGEKIHA_BOSS_AFTER_BATTLE_02",""
"b1ac8","","32","KAGEKIHA_BOSS_AFTER_BATTLE_02_00",""
"b1aec","","32","KAGEKIHA_BOSS_AFTER_BATTLE_02_01",""
"b1b10","","32","KAGEKIHA_BOSS_AFTER_BATTLE_02_02",""
"b1b34","","21","A_hancho_after_kageki",""
"b1b4c","","24","A_hancho_after_kageki_00",""
"b1b68","","27","A_hancho_after_kageki_01_00",""
"b1b84","","28","A_hancho_after_kageki_01_01",""
"b1ba4","","27","A_hancho_after_kageki_01_02",""
"b1bc0","","24","A_hancho_after_kageki_02",""
"b1bdc","","27","A_hancho_after_kageki_02_00",""
"b1bf8","","24","A_hancho_after_kageki_03",""
"b1c14","","27","A_hancho_after_kageki_03_00",""
"b1c30","","24","A_hancho_after_kageki_04",""
"b1c4c","","24","A_hancho_after_kageki_05",""
"b1c68","","24","A_hancho_after_kageki_06",""
"b1c84","","26","A_hancho_after_kageki_loop",""
"b1ca0","","28","A_hancho_after_kageki_loop_s",""
"b1cc0","","24","A_hancho_after_kageki_07",""
"b1cdc","","27","A_hancho_after_kageki_07_00",""
"b1cf8","","27","A_hancho_after_kageki_07_01",""
"b1d14","","27","A_hancho_after_kageki_07_02",""
"b1d30","","14","B_HAN_ENTRANCE",""
"b1d40","","8","B_HAN_IN",""
"b1d4c","","9","SPY_YOUGI",""
"b1d58","","12","SPY_YOUGI_00",""
"b1d68","","12","SPY_YOUGI_01",""
"b1d78","","12","SPY_YOUGI_02",""
"b1d88","","15","SPY_YOUGI_02_00",""
"b1d98","","19","SPY_YOUGI_OKOTOWARI",""
"b1dac","","12","SPY_YOUGI_03",""
"b1dbc","","23","BOY_IN_B_HAN_DOKUBOU_00",""
"b1dd4","","23","BOY_IN_B_HAN_DOKUBOU_01",""
"b1dec","","29","BOY_IN_B_HAN_DOKUBOU_02hazure",""
"b1e0c","","28","BOY_IN_B_HAN_DOKUBOU_02atari",""
"b1e2c","","23","BOY_IN_B_HAN_DOKUBOU_03",""
"b1e44","","26","BOY_IN_B_HAN_DOKUBOU_03_02",""
"b1e60","","23","BOY_IN_B_HAN_DOKUBOU_04",""
"b1e78","","23","BOY_IN_B_HAN_DOKUBOU_05",""
"b1e90","","26","BOY_IN_B_HAN_DOKUBOU_05_00",""
"b1eac","","26","BOY_IN_B_HAN_DOKUBOU_05_01",""
"b1ec8","","20","ESCAPE_B_HAN_DOKUBOU",""
"b1ee0","","23","ESCAPE_B_HAN_DOKUBOU_00",""
"b1ef8","","19","B_hancho_settoku_00",""
"b1f0c","","19","B_hancho_settoku_01",""
"b1f20","","19","B_hancho_settoku_02",""
"b1f34","","22","B_hancho_settoku_02_00",""
"b1f4c","","22","B_hancho_settoku_02_01",""
"b1f64","","22","B_hancho_settoku_02_02",""
"b1f7c","","22","B_hancho_settoku_02_03",""
"b1f94","","22","B_hancho_settoku_02_04",""
"b1fac","","22","B_hancho_settoku_02_05",""
"b1fc4","","24","B_hancho_settoku_02_loop",""
"b1fe0","","12","RETURN_A_HAN",""
"b1ff0","","15","RETURN_A_HAN_00",""
"b2000","","15","RETURN_A_HAN_01",""
"b2010","","15","RETURN_A_HAN_02",""
"b2020","","15","RETURN_A_HAN_03",""
"b2030","","31","SPY_GIWAKU_A_hancho_room_loop_s",""
"b2050","","24","SPY_GIWAKU_A_hancho_room",""
"b206c","","37","SPY_GIWAKU_A_hancho_room_00_kaitentou",""
"b2094","","30","SPY_GIWAKU_A_hancho_room_00_00",""
"b20b4","","27","SPY_GIWAKU_A_hancho_room_01",""
"b20d0","","30","SPY_GIWAKU_A_hancho_room_02_00",""
"b20f0","","30","SPY_GIWAKU_A_hancho_room_02_01",""
"b2110","","27","SPY_GIWAKU_A_hancho_room_03",""
"b212c","","27","SPY_GIWAKU_A_hancho_room_04",""
"b2148","","30","SPY_GIWAKU_A_hancho_room_04_00",""
"b2168","","30","SPY_GIWAKU_A_hancho_room_04_01",""
"b2188","","27","SPY_GIWAKU_A_hancho_room_05",""
"b21a4","","27","SPY_GIWAKU_A_hancho_room_06",""
"b21c0","","27","SPY_GIWAKU_A_hancho_room_07",""
"b21dc","","30","SPY_GIWAKU_A_hancho_room_07_00",""
"b21fc","","27","SPY_GIWAKU_A_hancho_room_08",""
"b2218","","12","LAMAN_GIWAKU",""
"b2228","","15","LAMAN_GIWAKU_00",""
"b2238","","15","LAMAN_GIWAKU_01",""
"b2248","","12","LAMAN_KANGAE",""
"b2258","","15","LAMAN_KANGAE_00",""
"b2268","","18","LAMAN_KANGAE_00_00",""
"b227c","","18","LAMAN_KANGAE_00_01",""
"b2290","","20","LAMAN_KANGAE_00_loop",""
"b22a8","","16","LAMAN_MOBILE_GET",""
"b22bc","","25","LAMAN_MOBILE_AFTER_GET_01",""
"b22d8","","25","LAMAN_MOBILE_AFTER_GET_02",""
"b22f4","","25","LAMAN_MOBILE_AFTER_GET_03",""
"b2310","","28","LAMAN_MOBILE_AFTER_GET_03_00",""
"b2330","","28","LAMAN_MOBILE_AFTER_GET_03_01",""
"b2350","","25","LAMAN_MOBILE_AFTER_GET_04",""
"b236c","","12","otugemati_01",""
"b237c","","12","otugemati_02",""
"b238c","","12","otugemati_03",""
"b239c","","12","otugemati_04",""
"b23ac","","12","otugemati_05",""
"b23bc","","25","LAMAN_MOBILE_AFTER_GET_05",""
"b23d8","","25","LAMAN_MOBILE_AFTER_GET_06",""
"b23f4","","25","LAMAN_MOBILE_AFTER_GET_07",""
"b2410","","13","C_HAN_SENNYUU",""
"b2420","","16","C_HAN_SENNYUU_00",""
"b2434","","15","C_HAN_70MEN_BTL",""
"b2444","","18","C_HAN_70MEN_BTL_00",""
"b2458","","18","C_HAN_70MEN_BTL_01",""
"b246c","","23","C_hancho_first_meet_snd",""
"b2484","","20","C_hancho_first_meet_",""
"b249c","","22","C_hancho_first_meet_00",""
"b24b4","","22","C_hancho_first_meet_01",""
"b24cc","","22","C_hancho_first_meet_02",""
"b24e4","","22","C_hancho_first_meet_03",""
"b24fc","","22","C_hancho_first_meet_04",""
"b2514","","13","C_hansei_room",""
"b2524","","16","C_hansei_room_00",""
"b2538","","16","C_hansei_room_01",""
"b254c","","16","C_hansei_room_02",""
"b2560","","16","C_hansei_room_03",""
"b2574","","19","C_hansei_room_03_00",""
"b2588","","16","C_hansei_room_04",""
"b259c","","16","C_hansei_room_05",""
"b25b0","","21","DEPRO_TALK_WITH_LAMAN",""
"b25c8","","24","DEPRO_TALK_WITH_LAMAN_00",""
"b25e4","","24","DEPRO_TALK_WITH_LAMAN_01",""
"b2600","","29","AKIBA_TUUKOUNIN_DEPRO_SAGASHI",""
"b2620","","32","AKIBA_TUUKOUNIN_DEPRO_SAGASHI_00",""
"b2644","","32","AKIBA_TUUKOUNIN_DEPRO_SAGASHI_01",""
"b2668","","32","AKIBA_TUUKOUNIN_DEPRO_SAGASHI_02",""
"b268c","","32","AKIBA_TUUKOUNIN_DEPRO_SAGASHI_03",""
"b26b0","","26","AKIBA_TENNAI_DEPRO_SAGASHI",""
"b26cc","","29","AKIBA_TENNAI_DEPRO_SAGASHI_00",""
"b26ec","","29","AKIBA_TENNAI_DEPRO_SAGASHI_01",""
"b270c","","14","DEPRO_ROOM_MAE",""
"b271c","","17","DEPRO_ROOM_MAE_00",""
"b2730","","16","DEPRO_FIRST_MEET",""
"b2744","","19","DEPRO_FIRST_MEET_00",""
"b2758","","19","DEPRO_FIRST_MEET_01",""
"b276c","","19","DEPRO_FIRST_MEET_02",""
"b2780","","19","DEPRO_FIRST_MEET_03",""
"b2794","","19","DEPRO_FIRST_MEET_04",""
"b27a8","","22","DEPRO_FIRST_MEET_04_00",""
"b27c0","","22","DEPRO_FIRST_MEET_04_01",""
"b27d8","","22","DEPRO_FIRST_MEET_04_02",""
"b27f0","","15","DEPRO_AFETR_BTL",""
"b2800","","16","DEPRO_AFETR_BTL_",""
"b2814","","18","DEPRO_AFETR_BTL_00",""
"b2828","","18","DEPRO_AFETR_BTL_01",""
"b283c","","19","DEPRO_AFETR_BTL_01a",""
"b2850","","18","C_hancho_after_btl",""
"b2864","","24","C_hancho_after_btl_00_00",""
"b2880","","24","C_hancho_after_btl_00_01",""
"b289c","","24","C_hancho_after_btl_00_02",""
"b28b8","","24","C_hancho_after_btl_00_03",""
"b28d4","","24","C_hancho_after_btl_00_04",""
"b28f0","","21","C_hancho_after_btl_01",""
"b2908","","21","C_hancho_after_btl_03",""
"b2920","","24","C_hancho_after_btl_03_00",""
"b293c","","24","C_hancho_after_btl_03_01",""
"b2958","","24","C_hancho_after_btl_03_02",""
"b2974","","24","C_hancho_after_btl_03_03",""
"b2990","","26","C_hancho_after_btl_03_03_a",""
"b29ac","","18","real_spy_after_btl",""
"b29c0","","21","real_spy_after_btl_00",""
"b29d8","","21","real_spy_after_btl_01",""
"b29f0","","21","real_spy_after_btl_02",""
"b2a08","","27","real_spy_after_btl_02_laman",""
"b2a24","","21","real_spy_after_btl_03",""
"b2a3c","","12","shouki_DEPRO",""
"b2a4c","","17","shouki_DEPRO_loop",""
"b2a60","","15","shouki_C_hancho",""
"b2a70","","20","shouki_C_hancho_loop",""
"b2a88","","15","LAMAN_hagemashi",""
"b2a98","","18","LAMAN_hagemashi_00",""
"b2aac","","18","LAMAN_hagemashi_01",""
"b2ac0","","18","LAMAN_hagemashi_02",""
"b2ad4","","9","ABC_kaigi",""
"b2ae0","","12","ABC_kaigi_00",""
"b2af0","","12","ABC_kaigi_01",""
"b2b00","","12","ABC_kaigi_02",""
"b2b10","","12","ABC_kaigi_03",""
"b2b20","","12","ABC_kaigi_04",""
"b2b30","","12","ABC_kaigi_05",""
"b2b40","","15","ABC_kaigi_05_00",""
"b2b50","","12","ABC_kaigi_06",""
"b2b60","","12","ABC_kaigi_07",""
"b2b70","","12","ABC_kaigi_08",""
"b2b80","","12","ABC_kaigi_09",""
"b2b90","","12","ABC_kaigi_10",""
"b2ba0","","12","ABC_kaigi_11",""
"b2bb0","","15","ABC_kaigi_11_00",""
"b2bc0","","15","ABC_kaigi_11_01",""
"b2bd0","","15","ABC_kaigi_11_02",""
"b2be0","","12","ABC_kaigi_12",""
"b2bf0","","12","ABC_kaigi_13",""
"b2c00","","12","ABC_kaigi_18",""
"b2c10","","12","ABC_kaigi_20",""
"b2c20","","12","ABC_kaigi_22",""
"b2c30","","12","ABC_kaigi_24",""
"b2c40","","15","ABC_kaigi_24_00",""
"b2c50","","15","ABC_kaigi_24_01",""
"b2c60","","12","ABC_kaigi_25",""
"b2c70","","12","ABC_kaigi_26",""
"b2c80","","12","ABC_kaigi_27",""
"b2c90","","12","ABC_kaigi_28",""
"b2ca0","","12","ABC_kaigi_29",""
"b2cb0","","12","ABC_kaigi_30",""
"b2cc0","","12","ABC_kaigi_31",""
"b2cd0","","12","ABC_kaigi_32",""
"b2ce0","","12","ABC_kaigi_33",""
"b2cf0","","8","GET_CODE",""
"b2cfc","","17","GET_CODE_A_hancho",""
"b2d10","","17","GET_CODE_B_hancho",""
"b2d24","","17","GET_CODE_C_hancho",""
"b2d38","","9","GD_INSERT",""
"b2d44","","16","GD_INSERT_heroin",""
"b2d58","","11","GD_INSERT_a",""
"b2d64","","11","GD_INSERT_b",""
"b2d70","","11","GD_INSERT_c",""
"b2d7c","","11","GD_INSERT_d",""
"b2d88","","15","GD_INSERT_TEROP",""
"b2d98","","21","GD_INSERT_TEROP_ERASE",""
"b2db0","","16","GET_CODE_after_A",""
"b2dc4","","16","GET_CODE_after_B",""
"b2dd8","","16","GET_CODE_after_C",""
"b2dec","","10","yayoi_loop",""
"b2df8","","10","laman_loop",""
"b2e04","","12","F355_kakusei",""
"b2e14","","15","F355_kakusei_00",""
"b2e24","","15","F355_kakusei_01",""
"b2e34","","15","F355_kakusei_02",""
"b2e44","","15","F355_kakusei_03",""
"b2e54","","18","F355_kakusei_03_00",""
"b2e68","","15","F355_kakusei_04",""
"b2e78","","15","F355_kakusei_05",""
"b2e88","","13","F355_last_btl",""
"b2e98","","16","F355_last_btl_00",""
"b2eac","","13","F355_boss_pic",""
"b2ebc","","16","F355_last_btl_01",""
"b2ed0","","19","F355_boss_pic_erase",""
"b2ee4","","16","F355_last_btl_02",""
"b2ef8","","16","F355_last_btl_03",""
"b2f0c","","16","F355_last_btl_04",""
"b2f20","","17","After_Battle_F355",""
"b2f34","","20","After_Battle_F355_00",""
"b2f4c","","20","After_Battle_F355_01",""
"b2f64","","13","B_HAN_STAFF01",""
"b2f74","","20","B_HAN_STAFF01_return",""
"b2f8c","","13","B_HAN_STAFF02",""
"b2f9c","","20","B_HAN_STAFF02_return",""
"b2fb4","","13","B_HAN_STAFF03",""
"b2fc4","","20","B_HAN_STAFF03_return",""
"b2fdc","","13","B_HAN_STAFF04",""
"b2fec","","20","B_HAN_STAFF04_return",""
"b3004","","13","B_HAN_STAFF05",""
"b3014","","13","B_HAN_STAFF06",""
"b3024","","13","B_HAN_STAFF07",""
"b3034","","13","B_HAN_STAFF08",""
"b3044","","13","C_HAN_STAFF01",""
"b3054","","18","C_HAN_STAFF01_yoko",""
"b3068","","13","C_HAN_STAFF02",""
"b3078","","18","C_HAN_STAFF02_yoko",""
"b308c","","13","C_HAN_STAFF03",""
"b309c","","18","C_HAN_STAFF03_yoko",""
"b30b0","","13","C_HAN_STAFF04",""
"b30c0","","18","C_HAN_STAFF04_yoko",""
"b30d4","","9","C_STAFF05",""
"b30e0","","14","C_STAFF05_yoko",""
"b30f0","","13","C_HAN_STAFF06",""
"b3100","","18","C_HAN_STAFF06_yoko",""
"b3114","","6","BURNAR",""
"b311c","","15","BURNAR_afterBTL",""
"b312c","","8","SUPEHARI",""
"b3138","","17","SUPEHARI_afterBTL",""
"b314c","","15","chounin_tuki_01",""
"b315c","","15","chounin_tuki_02",""
"b316c","","14","chounin_server",""
"b317c","","15","chounin_fugou_a",""
"b318c","","15","chounin_fugou_b",""
"b319c","","15","chounin_fugou_c",""
"b31ac","","14","RD2_EVENT_MAX",""
"b31bc","","15","RD2_PLAZE_FLAG",""
"b31cc","","21","RD2_PLAZE_DROPOUT_00",""
"b31e4","","21","RD2_PLAZE_DROPOUT_01",""
"b31fc","","21","RD2_PLAZE_DROPOUT_02",""
"b3214","","21","RD2_PLAZE_DROPOUT_03",""
"b322c","","21","RD2_PLAZE_DROPOUT_04",""
"b3244","","24","RD2_CAMERA_MOVE_F355_00",""
"b3260","","24","RD2_CAMERA_MOVE_F355_01",""
"b327c","","18","RD2_CHARA_MOVE_00",""
"b3290","","17","RD2_ADVENT_LAMAN",""
"b32a4","","20","RD2_LAMAN_OUT_IN_00",""
"b32bc","","20","RD2_LAMAN_OUT_IN_01",""
"b32d4","","21","RD2_F355_FADE_OUT_00",""
"b32ec","","20","RD2_F355_FADE_IN_00",""
"b3304","","23","RD2_LAMAN_PORT_00_MOVE",""
"b331c","","21","RD2_LAMAN_PORT_00_IN",""
"b3334","","21","RD2_CHARA_PORT_00_IN",""
"b334c","","27","RD2_LAMAN_OPEN_THE_DOOR_00",""
"b3368","","22","RD2_MUSCLE_ADVENT_A_00",""
"b3380","","24","RD2_MUSCLE_BURN_OFF_A_00",""
"b339c","","23","RD2_MUSCLE_ADVENT_A_01",""
"b33b4","","23","RD2_BOLSHEVIK_BATTLE_A",""
"b33cc","","23","RD2_BOLSHEVIK_BATTLE_B",""
"b33e4","","27","RD2_BOLSHEVIK_BATTLE_A_WIN",""
"b3400","","27","RD2_BOLSHEVIK_BATTLE_B_WIN",""
"b341c","","29","RD2_BOLSHEVIK_BOSS_ADVENT_00",""
"b343c","","29","RD2_BOLSHEVIK_BOSS_ADVENT_01",""
"b345c","","26","RD2_BOLSHEVIK_BATTLE_BOSS",""
"b3478","","22","RD2_CHIEF_B_ADVENT_00",""
"b3490","","24","RD2_CHIEF_B_BURN_OFF_00",""
"b34ac","","19","RD2_CHIEF_B_ASK_00",""
"b34c0","","22","RD2_CHIEF_B_BATTLE_00",""
"b34d8","","26","RD2_CHIEF_B_BATTLE_00_WIN",""
"b34f4","","13","RD2_ARREST_00",""
"b3504","","22","RD2_COACTION_TRANS_00",""
"b351c","","22","RD2_COACTION_TRANS_01",""
"b3534","","22","RD2_COACTION_TRANS_02",""
"b354c","","22","RD2_COACTION_TRANS_03",""
"b3564","","22","RD2_COACTION_TRANS_04",""
"b357c","","22","RD2_COACTION_TRANS_05",""
"b3594","","22","RD2_COACTION_TRANS_06",""
"b35ac","","22","RD2_COACTION_TRANS_07",""
"b35c4","","11","RD2_WALL_00",""
"b35d0","","11","RD2_WALL_01",""
"b35dc","","11","RD2_WALL_02",""
"b35e8","","13","RD2_ENTRYISM",""
"b35f8","","18","RD2_ENTRYISM_FADE",""
"b360c","","21","RD2_ENTRYISM_FADE_00",""
"b3624","","21","RD2_ENTRYISM_SUCCESS",""
"b363c","","26","RD2_ENTRYISM_SUCCESS_FADE",""
"b3658","","18","RD2_ENTRYISM_FAIL",""
"b366c","","23","RD2_ENTRYISM_FAIL_FADE",""
"b3684","","14","RD2_BATTLE_00",""
"b3694","","14","RD2_BATTLE_01",""
"b36a4","","14","RD2_BATTLE_02",""
"b36b4","","14","RD2_BATTLE_03",""
"b36c4","","14","RD2_BATTLE_04",""
"b36d4","","17","RD2_BATTLE_START",""
"b36e8","","15","RD2_BATTLE_END",""
"b36f8","","18","RD2_BATTLE_00_WIN",""
"b370c","","18","RD2_BATTLE_01_WIN",""
"b3720","","18","RD2_BATTLE_02_WIN",""
"b3734","","18","RD2_BATTLE_03_WIN",""
"b3748","","18","RD2_BATTLE_04_WIN",""
"b375c","","15","RD2_BATTLE_WIN",""
"b376c","","24","RD2_C_CHARA_DELETION_00",""
"b3788","","24","RD2_C_CHARA_DELETION_01",""
"b37a4","","13","RD2_TRANS_00",""
"b37b4","","13","RD2_TRANS_01",""
"b37c4","","13","RD2_TRANS_02",""
"b37d4","","13","RD2_TRANS_03",""
"b37e4","","20","RD2_GO_TO_AKIHABARA",""
"b37fc","","26","RD2_AKIBA_STORE_LA_MAN_00",""
"b3818","","19","RD2_DEPRO_GREETING",""
"b382c","","17","RD2_DEPRO_BATTLE",""
"b3840","","21","RD2_DEPRO_BATTLE_WIN",""
"b3858","","22","RD2_DEPRO_TRANS_DEPRO",""
"b3870","","22","RD2_DEPRO_TRANS_LAMAN",""
"b3888","","22","RD2_CHIEF_C_BATTLE_00",""
"b38a0","","15","RD2_SPY_BATTLE",""
"b38b0","","19","RD2_HEROINE_ADVENT",""
"b38c4","","17","RD2_HERO_CLEAR_00",""
"b38d8","","16","RD2_MAP_FADE_00",""
"b38ec","","16","RD2_MAP_FADE_01",""
"b3900","","26","GET_CODE_A_hancho_MOVE_00",""
"b391c","","26","GET_CODE_A_hancho_MOVE_01",""
"b3938","","26","GET_CODE_A_hancho_MOVE_02",""
"b3954","","15","RD2_GET_CODE_A",""
"b3964","","26","GET_CODE_B_hancho_MOVE_00",""
"b3980","","26","GET_CODE_B_hancho_MOVE_01",""
"b399c","","26","GET_CODE_B_hancho_MOVE_02",""
"b39b8","","15","RD2_GET_CODE_B",""
"b39c8","","26","GET_CODE_C_hancho_MOVE_00",""
"b39e4","","26","GET_CODE_C_hancho_MOVE_01",""
"b3a00","","26","GET_CODE_C_hancho_MOVE_02",""
"b3a1c","","15","RD2_GET_CODE_C",""
"b3a2c","","20","RD2_FINAL_BATTLE_00",""
"b3a44","","20","RD2_FINAL_BATTLE_01",""
"b3a5c","","11","RD2_GRP_01",""
"b3a68","","17","RD2_COMPLEMENT_01",""
"b3a7c","","12","RD2_LAMAN_00",""
"b3a8c","","12","RD2_LAMAN_01",""
"b3a9c","","12","RD2_LAMAN_02",""
"b3aac","","12","RD2_LAMAN_03",""
"b3abc","","18","RD2_CAMERA_MOVE_00",""
"b3ad0","","8","RD2_END",""
"b3adc","","12","RD3ken_Start",""
"b3aec","","15","RD3ken_Start_00",""
"b3afc","","10","want_gebas",""
"b3b08","","19","hinmincho_firstmeet",""
"b3b1c","","22","hinmincho_firstmeet_01",""
"b3b34","","22","hinmincho_firstmeet_03",""
"b3b4c","","24","hinmincho_firstmeet_loop",""
"b3b68","","13","taoremae_loop",""
"b3b78","","14","Cman_firstmeet",""
"b3b88","","17","Cman_firstmeet_01",""
"b3b9c","","17","Cman_firstmeet_02",""
"b3bb0","","17","Cman_firstmeet_03",""
"b3bc4","","17","Cman_firstmeet_05",""
"b3bd8","","19","Cman_firstmeet_loop",""
"b3bec","","11","taore_loop",""
"b3bf8","","16","onegai_hinmincho",""
"b3c0c","","21","onegai_hinmincho_loop",""
"b3c24","","5","Debug",""
"b3c2c","","8","Debug_00",""
"b3c38","","11","Debug_start",""
"b3c44","","12","Debug_point1",""
"b3c54","","15","Debug_point1_00",""
"b3c64","","15","Debug_point1_01",""
"b3c74","","12","Debug_point2",""
"b3c84","","15","Debug_point2_00",""
"b3c94","","15","Debug_point2_02",""
"b3ca4","","15","Debug_point2_03",""
"b3cb4","","15","Debug_point2_04",""
"b3cc4","","15","Debug_point2_05",""
"b3cd4","","15","Debug_point2_06",""
"b3ce4","","15","Debug_point2_07",""
"b3cf4","","15","Debug_point2_08",""
"b3d04","","15","Debug_point2_09",""
"b3d14","","15","Debug_point2_10",""
"b3d24","","15","Debug_point2_11",""
"b3d34","","12","Debug_point3",""
"b3d44","","15","Debug_point3_00",""
"b3d54","","15","Debug_point3_01",""
"b3d64","","15","Debug_point3_02",""
"b3d74","","12","Debug_point4",""
"b3d84","","15","Debug_point4_00",""
